Input Graph: 
{ X: 0.6938924703435077; Y: 0.34081067045124047 }
{ X: 0.5991184201334966; Y: 0.11854553335877238 }
{ X: 0.4341696529726845; Y: 0.08873680029516462 }
{ X: 0.805740486151956; Y: 0.8119185774135997 }
{ X: 0.9500752682444813; Y: 0.06827077542045756 }
{ X: 0.7742825314198307; Y: 0.9597622047169007 }
{ X: 0.7255910303085241; Y: 0.477442934130779 }
{ X: 0.8049538501871654; Y: 0.7565415414064125 }
{ X: 0.2914070242993446; Y: 0.49202407943799686 }
{ X: 0.993588686620268; Y: 0.23727046837057542 }
{ X: 0.09482525203436021; Y: 0.558524891685164 }
{ X: 0.9081904788704463; Y: 0.2677764651855168 }
{ X: 0.10794437515033606; Y: 0.20672625781421916 }
{ X: 0.2537572447018718; Y: 0.30449688106153183 }
{ X: 0.6741259462509729; Y: 0.8817412250835719 }
{ X: 0.025388265140764754; Y: 0.4238061783136452 }
{ X: 0.09274153946975283; Y: 0.29560790123273484 }
{ X: 0.6496721033988015; Y: 0.12087467734747492 }
{ X: 0.44220144354971747; Y: 0.7984137704805827 }
{ X: 0.614355683399264; Y: 0.3780584082796278 }
{ X: 0.14126438844895328; Y: 0.2689511943892384 }
{ X: 0.08629486749018478; Y: 0.5028202554571412 }
{ X: 0.7486286705502374; Y: 0.02490419445113423 }
{ X: 0.017685974550943673; Y: 0.23518235762306694 }
{ X: 0.5008044604080031; Y: 0.25256643444286175 }
{ X: 0.24057887179166737; Y: 0.624709741376458 }
{ X: 0.08826736008785163; Y: 0.4560905292056807 }
{ X: 0.04967109635304767; Y: 0.17702526988314138 }
{ X: 0.16989317284570848; Y: 0.4262685531928164 }
{ X: 0.7733832525757374; Y: 0.7698556311657984 }
{ X: 0.12567401180649196; Y: 0.2288437711352873 }
{ X: 0.833215826500357; Y: 0.8386089247668942 }
{ X: 0.5477156656859095; Y: 0.7123537323872946 }
{ X: 0.7913869631126945; Y: 0.33148321348510845 }
{ X: 0.9695160501920268; Y: 0.035504438378530345 }
{ X: 0.8867518545346099; Y: 0.9341063605602298 }
{ X: 0.33352508038273787; Y: 0.7140759631530144 }
{ X: 0.5590029270473611; Y: 0.06370724916406534 }
{ X: 0.6969857628134574; Y: 0.6873591023113663 }
{ X: 0.4611518029734071; Y: 0.13281821283400874 }
{ X: 0.6760564553209749; Y: 0.904123549545412 }
{ X: 0.4602920017859873; Y: 0.5825085203870751 }
{ X: 0.12821446580682105; Y: 0.9281169972680968 }
{ X: 0.1266433266702125; Y: 0.18514947410794824 }
{ X: 0.5729408633602779; Y: 0.06309576483573431 }
{ X: 0.21087710952121974; Y: 0.11671033890007654 }
{ X: 0.8506865389739355; Y: 0.49738654458065623 }
{ X: 0.6097231115915173; Y: 0.29858594431542573 }
{ X: 0.5201195233023752; Y: 0.967979347610651 }
{ X: 0.3198572825753936; Y: 0.5089551622507642 }
{ X: 0.49365349440875494; Y: 0.4441518952443516 }
{ X: 0.8800710263309045; Y: 0.7636708489063478 }
{ X: 0.4112577213684554; Y: 0.33062504630063794 }
