Input Graph: 
{ X: 469.0; Y: 719.0 }
{ X: 867.0; Y: 523.0 }
{ X: 14.0; Y: 522.0 }
{ X: 481.0; Y: 341.0 }
{ X: 969.0; Y: 68.0 }
{ X: 588.0; Y: 711.0 }
{ X: 217.0; Y: 791.0 }
{ X: 36.0; Y: 881.0 }
{ X: 129.0; Y: 58.0 }
{ X: 453.0; Y: 884.0 }
{ X: 514.0; Y: 855.0 }
{ X: 545.0; Y: 160.0 }
{ X: 824.0; Y: 758.0 }
{ X: 35.0; Y: 271.0 }
{ X: 644.0; Y: 502.0 }
{ X: 925.0; Y: 400.0 }
{ X: 322.0; Y: 58.0 }
{ X: 946.0; Y: 548.0 }
{ X: 52.0; Y: 984.0 }
{ X: 187.0; Y: 995.0 }
{ X: 28.0; Y: 859.0 }
{ X: 453.0; Y: 295.0 }
{ X: 749.0; Y: 737.0 }
{ X: 816.0; Y: 535.0 }
{ X: 858.0; Y: 781.0 }
{ X: 936.0; Y: 971.0 }
{ X: 4.0; Y: 893.0 }
{ X: 176.0; Y: 62.0 }
{ X: 55.0; Y: 43.0 }
{ X: 785.0; Y: 630.0 }
{ X: 917.0; Y: 688.0 }
{ X: 454.0; Y: 341.0 }
{ X: 160.0; Y: 99.0 }
{ X: 297.0; Y: 427.0 }
{ X: 243.0; Y: 70.0 }
{ X: 526.0; Y: 960.0 }
{ X: 896.0; Y: 264.0 }
{ X: 622.0; Y: 349.0 }
{ X: 738.0; Y: 218.0 }
{ X: 821.0; Y: 491.0 }
{ X: 212.0; Y: 509.0 }
{ X: 348.0; Y: 690.0 }
{ X: 287.0; Y: 250.0 }
{ X: 399.0; Y: 602.0 }
{ X: 703.0; Y: 904.0 }
{ X: 183.0; Y: 660.0 }
{ X: 734.0; Y: 72.0 }
{ X: 735.0; Y: 649.0 }
{ X: 134.0; Y: 211.0 }
{ X: 289.0; Y: 824.0 }
{ X: 130.0; Y: 665.0 }
{ X: 961.0; Y: 387.0 }
{ X: 284.0; Y: 843.0 }
{ X: 249.0; Y: 82.0 }
{ X: 519.0; Y: 922.0 }
{ X: 866.0; Y: 814.0 }
{ X: 302.0; Y: 565.0 }
{ X: 545.0; Y: 638.0 }
{ X: 26.0; Y: 909.0 }
{ X: 758.0; Y: 716.0 }
{ X: 975.0; Y: 899.0 }
{ X: 917.0; Y: 536.0 }
{ X: 55.0; Y: 399.0 }
{ X: 920.0; Y: 819.0 }
{ X: 212.0; Y: 346.0 }
{ X: 426.0; Y: 108.0 }
{ X: 681.0; Y: 356.0 }
{ X: 749.0; Y: 821.0 }
{ X: 201.0; Y: 302.0 }
{ X: 11.0; Y: 934.0 }
{ X: 45.0; Y: 208.0 }
{ X: 424.0; Y: 495.0 }
{ X: 609.0; Y: 322.0 }
{ X: 189.0; Y: 953.0 }
{ X: 510.0; Y: 558.0 }
{ X: 206.0; Y: 269.0 }
{ X: 520.0; Y: 908.0 }
{ X: 708.0; Y: 499.0 }
{ X: 953.0; Y: 444.0 }
{ X: 434.0; Y: 459.0 }
{ X: 875.0; Y: 631.0 }
{ X: 579.0; Y: 182.0 }
{ X: 817.0; Y: 789.0 }
{ X: 225.0; Y: 213.0 }
